Ticker;BTC-USD
27.06.2023;30688.16406
28.06.2023;30086.24609
29.06.2023;30445.35156
30.06.2023;30477.25195
1.07.2023;30590.07813
2.07.2023;30620.76953
3.07.2023;31156.43945
4.07.2023;30777.58203
5.07.2023;30514.16602
6.07.2023;29909.33789
7.07.2023;30342.26563
8.07.2023;30292.54102
9.07.2023;30171.23438
10.07.2023;30414.4707
11.07.2023;30620.95117
12.07.2023;30391.64648
13.07.2023;31476.04883
14.07.2023;30334.06836
15.07.2023;30295.80664
16.07.2023;30249.13281
17.07.2023;30145.88867
18.07.2023;29856.5625
19.07.2023;29913.92383
20.07.2023;29792.01563
21.07.2023;29908.74414
22.07.2023;29771.80273
23.07.2023;30084.53906
24.07.2023;29176.91602
25.07.2023;29227.39063
26.07.2023;29354.97266
27.07.2023;29210.68945
28.07.2023;29319.24609
29.07.2023;29356.91797
30.07.2023;29275.30859
31.07.2023;29230.11133
1.08.2023;29675.73242
2.08.2023;29151.95898
3.08.2023;29178.67969
4.08.2023;29074.0918
5.08.2023;29042.12695
6.08.2023;29041.85547
7.08.2023;29180.57813
8.08.2023;29765.49219
9.08.2023;29561.49414
10.08.2023;29429.5918
11.08.2023;29397.71484
12.08.2023;29415.96484
13.08.2023;29282.91406
14.08.2023;29408.44336
15.08.2023;29170.34766
16.08.2023;28701.7793
17.08.2023;26664.55078
18.08.2023;26049.55664
19.08.2023;26096.20508
20.08.2023;26189.58398
21.08.2023;26124.14063
22.08.2023;26031.65625
23.08.2023;26431.64063
24.08.2023;26162.37305
25.08.2023;26047.66797
26.08.2023;26008.46289
27.08.2023;26089.69336
28.08.2023;26106.15039
29.08.2023;27727.39258
30.08.2023;27297.26563
31.08.2023;25931.47266
1.09.2023;25800.72461
2.09.2023;25868.79883
3.09.2023;25969.56641
4.09.2023;25812.41602
5.09.2023;25779.98242
6.09.2023;25753.23633
7.09.2023;26240.19531
8.09.2023;25905.6543
9.09.2023;25895.67773
10.09.2023;25832.22656
11.09.2023;25162.6543
12.09.2023;25833.34375
13.09.2023;26228.32422
14.09.2023;26539.67383
15.09.2023;26608.69336
16.09.2023;26568.28125
17.09.2023;26534.1875
18.09.2023;26754.28125
19.09.2023;27211.11719
20.09.2023;27132.00781
21.09.2023;26567.63281
22.09.2023;26579.56836
23.09.2023;26579.39063
24.09.2023;26256.82617
25.09.2023;26298.48047
26.09.2023;26217.25
27.09.2023;26352.7168
28.09.2023;27021.54688
29.09.2023;26911.7207
30.09.2023;26967.91602
1.10.2023;27983.75
2.10.2023;27530.78516
3.10.2023;27429.97852
4.10.2023;27799.39453
5.10.2023;27415.91211
6.10.2023;27946.59766
7.10.2023;27968.83984
8.10.2023;27935.08984
9.10.2023;27583.67773
10.10.2023;27391.01953
